HOSPITAL_ID,ANIMAL_ID
1,1
1,2
2,1
2,2
3,1
3,2
4,1
4,2
5,1
6,1
6,2
7,1
7,2
8,1
8,2
10,1
10,2
11,1
11,2
12,1
12,2
13,1
13,2
14,1
14,2
14,3
15,1
15,2
16,1
16,2
17,1
17,2
18,1
18,2
19,1
19,2
20,1
20,2
20,7
20,12
21,1
21,2
22,1
22,2
23,1
23,2
24,1
24,2
25,1
25,2
26,1
26,2
27,2
28,1
28,2
29,1
29,2
29,3
29,4
31,1
31,2
32,1
32,2
33,1
33,2
34,1
34,2
35,1
35,2
36,1
36,2
37,1
37,2
38,1
38,2
39,1
39,2
40,1
41,1
42,1
42,2
43,1
43,2
44,1
45,1
45,2
46,1
46,2
47,2
48,1
48,2
49,1
49,2
50,1
50,2
51,2
52,1
52,2
53,1
54,1
54,2
55,1
55,2
55,7
56,1
56,2
57,1
57,2
58,1
58,2
59,1
59,2
60,1
60,2
63,2
64,1
64,2
65,1
65,2
66,1
66,2
67,1
67,2
68,1
68,2
69,1
69,2
69,3
69,4
69,5
69,6
69,7
69,8
69,9
70,1
70,2
71,1
71,2
72,1
72,2
73,1
73,2
74,1
74,2
75,1
75,2
76,1
76,2
76,4
78,1
78,2
80,1
80,2
81,1
81,2
83,1
83,2
84,1
84,2
85,1
85,2
86,1
86,2
87,1
87,2
88,1
88,2
90,3
90,5
90,6
90,7
90,8
90,11
91,1
91,2
92,1
92,2
94,1
94,2
95,1
95,2
97,1
97,2
98,1
98,2
101,1
101,2
102,1
102,2
103,1
103,2
103,3
103,4
103,5
103,6
103,7
103,8
103,9
103,10
103,11
104,1
104,2
105,1
105,2
106,1
106,2
107,1
107,2
108,1
108,2
110,1
110,2
112,1
112,2
113,1
113,2
113,6
114,1
114,2
115,1
115,2
116,1
116,2
117,1
117,2
119,1
119,2
120,1
120,2
122,1
122,2
122,4
122,5
123,1
123,2
124,1
124,2
