HOSPITAL_ID,SERVICE_ID
1,1
1,2
1,4
1,5
1,6
1,7
1,8
1,9
2,1
2,2
2,6
2,7
2,8
2,9
3,1
3,4
3,5
3,6
3,7
3,8
3,9
4,5
5,6
5,8
6,1
6,4
6,5
6,6
6,8
7,1
7,4
7,7
7,9
9,1
10,1
10,2
10,6
10,7
10,8
10,9
11,1
11,4
11,5
11,6
11,7
11,8
11,9
12,4
12,5
12,6
12,8
12,9
13,1
13,2
13,4
13,5
13,6
13,7
13,8
13,9
14,1
14,3
14,4
14,5
14,6
14,8
15,6
15,8
16,1
16,6
16,7
16,8
16,9
17,6
17,7
17,8
17,9
18,1
18,4
18,5
18,6
18,7
18,8
18,9
19,4
19,6
19,7
19,8
19,9
20,1
20,2
20,3
20,4
20,6
20,7
20,8
20,9
21,1
21,3
21,6
21,7
21,8
21,9
22,6
22,7
22,8
22,9
23,1
23,4
23,5
23,6
23,8
24,1
24,4
24,6
24,7
24,8
24,9
25,1
25,4
25,5
25,6
25,7
25,8
25,9
26,1
26,4
26,5
26,6
26,8
27,4
27,5
28,1
28,4
28,5
28,6
28,7
28,8
28,9
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
32,4
33,1
33,4
33,5
33,6
33,7
33,8
33,9
34,1
34,2
34,6
34,7
34,9
35,1
35,2
35,6
35,7
35,8
35,9
36,1
36,2
36,6
36,7
36,8
36,9
38,1
38,7
38,9
39,1
39,4
39,5
39,6
39,8
39,9
40,6
40,8
41,8
42,1
42,2
42,4
42,5
42,6
42,7
42,8
42,9
43,1
43,2
43,4
43,5
43,6
43,7
43,8
43,9
44,1
44,6
44,7
44,8
44,9
45,1
45,2
45,6
45,7
45,8
45,9
46,1
46,2
46,4
46,5
46,6
46,7
46,8
46,9
47,1
47,6
47,7
47,8
47,9
48,1
48,4
48,5
49,1
49,2
49,4
49,5
49,6
49,7
49,8
49,9
50,1
50,4
50,5
50,6
50,8
51,4
51,6
51,7
51,8
51,9
52,1
52,5
52,9
53,1
53,4
53,5
53,6
53,7
53,8
53,9
54,1
54,4
54,9
55,1
55,3
55,4
56,1
56,2
56,4
56,5
56,6
56,7
56,8
56,9
57,1
57,4
57,6
57,8
57,9
58,1
58,2
58,3
58,4
58,5
58,6
58,7
58,8
58,9
59,1
59,2
59,4
59,5
59,6
59,7
59,8
59,9
60,1
60,4
60,5
60,6
60,8
60,9
63,4
64,1
64,4
64,5
64,6
64,7
64,8
64,9
65,1
65,4
65,5
65,6
65,7
65,8
65,9
66,1
66,4
66,5
66,6
66,7
66,8
66,9
67,1
67,4
67,5
67,6
67,8
67,9
68,1
68,4
68,5
69,1
69,2
69,3
69,4
69,5
69,6
69,7
69,8
69,9
70,1
70,4
70,5
70,6
70,7
70,8
70,9
71,1
71,2
71,4
71,5
71,6
71,7
71,8
71,9
72,1
72,6
72,7
72,8
72,9
73,1
73,6
73,7
73,8
73,9
74,1
74,4
74,5
75,1
75,4
75,5
76,1
76,3
76,4
76,5
76,6
76,8
78,1
78,5
78,6
80,1
80,2
80,4
80,5
80,6
80,7
80,8
80,9
81,1
81,2
81,4
81,6
81,7
81,8
81,9
83,1
83,4
83,5
84,1
84,2
84,4
84,5
84,6
84,7
84,8
84,9
85,1
85,2
85,4
85,6
85,7
85,8
85,9
86,1
86,2
86,6
86,7
86,8
86,9
87,1
87,2
87,4
87,5
87,6
87,8
88,1
88,4
88,5
88,6
88,7
88,8
88,9
90,1
90,3
90,4
90,5
90,6
90,7
90,8
90,9
91,1
91,4
91,5
91,6
91,7
92,1
92,4
92,5
92,6
92,7
92,8
92,9
94,1
94,4
94,5
94,6
94,8
95,1
95,6
95,7
95,8
95,9
97,1
97,5
97,6
97,7
97,8
97,9
98,1
98,2
98,4
98,5
98,6
98,7
98,8
101,1
101,4
101,5
101,6
101,7
101,8
101,9
102,1
103,1
103,2
103,3
103,4
103,5
103,6
103,7
103,8
103,9
104,1
104,2
104,4
104,5
104,6
104,7
104,8
104,9
105,1
105,4
105,5
105,6
105,7
105,8
105,9
106,1
106,4
106,5
106,6
106,7
106,8
106,9
107,1
107,2
107,4
107,5
107,6
107,7
107,8
107,9
108,1
108,4
108,5
108,6
108,8
110,1
110,4
110,5
110,6
110,8
112,1
112,2
112,4
112,5
112,6
112,7
112,8
112,9
113,1
113,3
113,4
113,5
113,6
113,8
113,9
114,1
114,4
114,5
114,6
114,7
114,8
114,9
115,1
115,2
115,6
115,9
116,1
116,4
116,5
117,1
117,4
117,5
117,6
117,8
117,9
119,1
119,2
119,4
119,5
119,6
119,7
119,8
119,9
120,1
120,2
120,4
120,5
120,6
120,7
120,9
122,1
122,2
122,3
122,4
122,5
122,6
122,7
122,8
122,9
123,1
123,4
124,1
124,4
